"Rank","Relative Value","Player","Position Rank","Team","FF Pts","BYE","ADP"
"1","136","Justin Jefferson","WR-1","MIN","16.7","13","1.01"
"2","107","Austin Ekeler","RB-1","LAC","15.5","5","1.04"
"3","101","Christian McCaffrey","RB-2","SF","15.2","9","1.03"
"4","100","Nick Chubb","RB-3","CLE","15.1","5","2.03"
"5","97","Travis Kelce","TE-1","KC","12.2","10","1.05"
"6","96","Tyreek Hill","WR-2","MIA","14.3","10","1.06"
"7","91","Ja'Marr Chase","WR-3","CIN","14.0","7","1.02"
"8","87","Derrick Henry","RB-4","TEN","14.4","7","1.10"
"9","87","Bijan Robinson","RB-5","ATL","14.4","11","1.08"
"10","86","Tony Pollard","RB-6","DAL","14.3","7","2.05"
"11","82","Saquon Barkley","RB-7","NYG","14.1","13","1.09"
"12","77","Stefon Diggs","WR-4","BUF","13.2","13","2.02"
"13","71","Josh Jacobs","RB-8","LV","13.4","13","2.08"
"14","68","CeeDee Lamb","WR-5","DAL","12.7","7","2.06"
"15","65","A.J. Brown","WR-6","PHI","12.5","10","2.09"
"16","64","Mark Andrews","TE-2","BAL","10.2","13","4.06"
"17","64","Davante Adams","WR-7","LV","12.4","13","2.01"
"18","56","Amon-Ra St. Brown","WR-8","DET","11.9","9","3.01"
"19","54","Jalen Hurts","QB-1","PHI","20.9","10","3.02"
"20","52","Jaylen Waddle","WR-9","MIA","11.7","10","3.04"
"21","48","Rhamondre Stevenson","RB-9","NE","12.0","11","4.08"
"22","46","Patrick Mahomes","QB-2","KC","20.5","10","2.04"
"23","46","Jahmyr Gibbs","RB-10","DET","11.9","9","4.04"
"24","45","Garrett Wilson","WR-10","NYJ","11.3","7","2.07"
"25","45","Cooper Kupp","WR-11","LAR","11.3","10","1.07"
"26","40","Aaron Jones","RB-11","GB","11.6","6","4.02"
"27","40","T.J. Hockenson","TE-3","MIN","8.8","13","5.03"
"28","40","Joe Mixon","RB-12","CIN","11.6","7","3.03"
"29","35","Josh Allen","QB-3","BUF","19.8","13","2.10"
"30","33","Najee Harris","RB-13","PIT","11.2","6","3.10"
"31","32","Alexander Mattison","RB-14","MIN","11.1","13","6.10"
"32","31","Dameon Pierce","RB-15","HOU","11.1","7","5.02"
"33","29","Darren Waller","TE-4","NYG","8.2","13","5.06"
"34","29","Chris Olave","WR-12","NO","10.3","11","3.07"
"35","28","George Kittle","TE-5","SF","8.1","9","5.09"
"36","24","Kenneth Walker","RB-16","SEA","10.7","5","5.10"
"37","24","Dallas Goedert","TE-6","PHI","7.8","10","7.02"
"38","23","Travis Etienne","RB-17","JAX","10.6","9","3.08"
"39","22","DeVonta Smith","WR-13","PHI","10.0","10","3.09"
"40","22","Miles Sanders","RB-18","CAR","10.6","7","6.09"
"41","21","Breece Hall","RB-19","NYJ","10.5","7","6.01"
"42","21","Calvin Ridley","WR-14","JAX","9.9","9","4.07"
"43","20","Tee Higgins","WR-15","CIN","9.9","7","3.06"
"44","20","Cam Akers","RB-20","LAR","10.4","10","7.08"
"45","19","Rachaad White","RB-21","TB","10.4","5","6.03"
"46","19","Pat Freiermuth","TE-7","PIT","7.6","6","9.02"
"47","19","David Montgomery","RB-22","DET","10.3","9","8.05"
"48","17","Keenan Allen","WR-16","LAC","9.7","5","4.09"
"49","17","Evan Engram","TE-8","JAX","7.5","9","8.09"
"50","16","Lamar Jackson","QB-4","BAL","18.7","13","4.01"
"51","16","Alvin Kamara","RB-23","NO","10.2","11","6.02"
"52","16","Tyler Lockett","WR-17","SEA","9.6","5","7.10"
"53","15","Joe Burrow","QB-5","CIN","18.6","7","4.03"
"54","14","Deebo Samuel","WR-18","SF","9.5","9","4.05"
"55","14","Christian Watson","WR-19","GB","9.5","6","5.08"
"56","14","James Cook","RB-24","BUF","10.1","13","7.04"
"57","14","Justin Fields","QB-6","CHI","18.6","13","5.04"
